state,date,sex,ethnicity,annual_birth,annual_death
Johor,01/01/2000,Male,overall,34726,7163
Johor,01/01/2001,Male,overall,31857,7380
Johor,01/01/2002,Male,overall,30922,7763
Johor,01/01/2003,Male,overall,30223,7933
Johor,01/01/2004,Male,overall,29518,8021
Johor,01/01/2005,Male,overall,29081,8194
Johor,01/01/2006,Male,overall,29661,8550
Johor,01/01/2007,Male,overall,29815,8985
Johor,01/01/2008,Male,overall,29897,9345
Johor,01/01/2009,Male,overall,30068,9384
Johor,01/01/2010,Male,overall,28989,9521
Johor,01/01/2011,Male,overall,29962,9604
Johor,01/01/2012,Male,overall,31214,9989
Johor,01/01/2013,Male,overall,29672,10361
Johor,01/01/2014,Male,overall,31420,10517
Johor,01/01/2015,Male,overall,31307,11045
Johor,01/01/2016,Male,overall,30754,11674
Johor,01/01/2017,Male,overall,31648,12076
Johor,01/01/2018,Male,overall,31656,12384
Johor,01/01/2019,Male,overall,31073,12760
Johor,01/01/2020,Male,overall,29379,12194
Johor,01/01/2021,Male,overall,25708,15549
Johor,01/01/2022,Male,overall,24765,14618
Johor,01/01/2000,Female,overall,32457,4981
Johor,01/01/2001,Female,overall,29575,5350
Johor,01/01/2002,Female,overall,28777,5696
Johor,01/01/2003,Female,overall,28007,5738
Johor,01/01/2004,Female,overall,27821,5821
Johor,01/01/2005,Female,overall,27443,5958
Johor,01/01/2006,Female,overall,27076,5996
Johor,01/01/2007,Female,overall,27965,6180
Johor,01/01/2008,Female,overall,27941,6581
Johor,01/01/2009,Female,overall,27781,6587
Johor,01/01/2010,Female,overall,27075,6539
Johor,01/01/2011,Female,overall,28205,6875
Johor,01/01/2012,Female,overall,29230,7212
Johor,01/01/2013,Female,overall,27730,7335
Johor,01/01/2014,Female,overall,29023,7387
Johor,01/01/2015,Female,overall,29236,7808
Johor,01/01/2016,Female,overall,28807,8250
Johor,01/01/2017,Female,overall,29437,8586
Johor,01/01/2018,Female,overall,29428,8733
Johor,01/01/2019,Female,overall,29188,9039
Johor,01/01/2020,Female,overall,27529,8452
Johor,01/01/2021,Female,overall,24282,11402
Johor,01/01/2022,Female,overall,23489,10687
Kedah,01/01/2000,Male,overall,21038,5110
Kedah,01/01/2001,Male,overall,19754,5218
Kedah,01/01/2002,Male,overall,18825,5628
Kedah,01/01/2003,Male,overall,18285,5800
Kedah,01/01/2004,Male,overall,17872,5746
Kedah,01/01/2005,Male,overall,17587,5770
Kedah,01/01/2006,Male,overall,17467,6077
Kedah,01/01/2007,Male,overall,17461,6160
Kedah,01/01/2008,Male,overall,18182,6321
Kedah,01/01/2009,Male,overall,18499,6632
Kedah,01/01/2010,Male,overall,18203,6601
Kedah,01/01/2011,Male,overall,18480,6844
Kedah,01/01/2012,Male,overall,18937,7059
Kedah,01/01/2013,Male,overall,18049,7096
Kedah,01/01/2014,Male,overall,18936,7404
Kedah,01/01/2015,Male,overall,18832,7733
Kedah,01/01/2016,Male,overall,18457,7734
Kedah,01/01/2017,Male,overall,18991,8049
Kedah,01/01/2018,Male,overall,18462,8216
Kedah,01/01/2019,Male,overall,17828,8031
Kedah,01/01/2020,Male,overall,17516,7694
Kedah,01/01/2021,Male,overall,17032,10068
Kedah,01/01/2022,Male,overall,15784,9792
Kedah,01/01/2000,Female,overall,19976,3872
Kedah,01/01/2001,Female,overall,18319,3979
Kedah,01/01/2002,Female,overall,17779,4297
Kedah,01/01/2003,Female,overall,17122,4511
Kedah,01/01/2004,Female,overall,17187,4349
Kedah,01/01/2005,Female,overall,16667,4510
Kedah,01/01/2006,Female,overall,16397,4621
Kedah,01/01/2007,Female,overall,16502,4687
Kedah,01/01/2008,Female,overall,17233,4750
Kedah,01/01/2009,Female,overall,17520,4986
Kedah,01/01/2010,Female,overall,16925,5073
Kedah,01/01/2011,Female,overall,17457,5025
Kedah,01/01/2012,Female,overall,17453,5209
Kedah,01/01/2013,Female,overall,16983,5420
Kedah,01/01/2014,Female,overall,17569,5613
Kedah,01/01/2015,Female,overall,17952,5941
Kedah,01/01/2016,Female,overall,17510,6037
Kedah,01/01/2017,Female,overall,17702,6283
Kedah,01/01/2018,Female,overall,17181,6336
Kedah,01/01/2019,Female,overall,16683,6271
