State,Total_Arrivals,Total_Male_Arrivals,Total_Female_Arrivals,Month
Johor,1234076,693195,540881,01/01/2023
Johor,1096031,629023,467008,01/02/2023
Johor,1301585,727417,574168,01/03/2023
Johor,1227351,682404,544947,01/04/2023
Johor,1298501,738863,559638,01/05/2023
Johor,1510345,820088,690257,01/06/2023
Johor,1545948,850439,695509,01/07/2023
Johor,1510486,844529,665957,01/08/2023
Johor,1599539,881702,717837,01/09/2023
Johor,1575638,879290,696348,01/10/2023
Johor,1558439,856873,701566,01/11/2023
Johor,1753136,934618,818518,01/12/2023
Kedah,85209,47879,37330,01/01/2023
Kedah,82858,46952,35906,01/02/2023
Kedah,100620,56619,44001,01/03/2023
Kedah,85744,45197,40547,01/04/2023
Kedah,91007,49427,41580,01/05/2023
Kedah,77066,41554,35512,01/06/2023
Kedah,85599,46887,38712,01/07/2023
Kedah,76758,42486,34272,01/08/2023
Kedah,85836,49393,36443,01/09/2023
Kedah,98794,55547,43247,01/10/2023
Kedah,90711,51274,39437,01/11/2023
Kedah,106836,58873,47963,01/12/2023
Kelantan,49955,26718,23237,01/01/2023
Kelantan,51162,27656,23506,01/02/2023
Kelantan,58591,29810,28781,01/03/2023
Kelantan,46894,23322,23572,01/04/2023
Kelantan,52302,27611,24691,01/05/2023
Kelantan,36763,19306,17457,01/06/2023
Kelantan,50017,26773,23244,01/07/2023
Kelantan,35798,19658,16140,01/08/2023
Kelantan,35224,19490,15734,01/09/2023
Kelantan,47679,25452,22227,01/10/2023
Kelantan,40481,21136,19345,01/11/2023
Kelantan,42337,21688,20649,01/12/2023
Melaka,5387,2439,2948,01/01/2023
Melaka,5254,2330,2924,01/02/2023
Melaka,4596,2112,2484,01/03/2023
Melaka,5639,2551,3088,01/04/2023
Melaka,5255,2309,2946,01/05/2023
Melaka,5218,2463,2755,01/06/2023
Melaka,5261,2352,2909,01/07/2023
Melaka,3466,1678,1788,01/08/2023
Melaka,4227,1879,2348,01/09/2023
Melaka,3539,1571,1968,01/10/2023
Melaka,3716,1708,2008,01/11/2023
Melaka,5419,2320,3099,01/12/2023
Negeri Sembilan,8081,5576,2505,01/01/2023
Negeri Sembilan,9828,6595,3233,01/02/2023
Negeri Sembilan,8450,5520,2930,01/03/2023
Negeri Sembilan,4340,2174,2166,01/04/2023
Negeri Sembilan,14303,10163,4140,01/05/2023
Negeri Sembilan,5034,3303,1731,01/06/2023
Negeri Sembilan,6499,4501,1998,01/07/2023
Negeri Sembilan,7275,4710,2565,01/08/2023
