state,date,sex,ethnicity,annual_birth,annual_death,age,population
Johor,01/01/2000,both,overall,67183,12144,overall,2762500
Johor,01/01/2001,both,overall,61432,12730,overall,2829900
Johor,01/01/2002,both,overall,59699,13459,overall,2893600
Johor,01/01/2003,both,overall,58230,13671,overall,2954000
Johor,01/01/2004,both,overall,57339,13842,overall,3014600
Johor,01/01/2005,both,overall,56524,14152,overall,3074400
Johor,01/01/2006,both,overall,56737,14546,overall,3134400
Johor,01/01/2007,both,overall,57780,15165,overall,3193500
Johor,01/01/2008,both,overall,57838,15926,overall,3252300
Johor,01/01/2009,both,overall,57849,15971,overall,3309400
Johor,01/01/2010,both,overall,56064,16060,overall,3362900
Johor,01/01/2011,both,overall,58167,16479,overall,3410500
Johor,01/01/2012,both,overall,60444,17201,overall,3450400
Johor,01/01/2013,both,overall,57402,17696,overall,3474400
Johor,01/01/2014,both,overall,60443,17904,overall,3559800
Johor,01/01/2015,both,overall,60543,18853,overall,3610300
Johor,01/01/2016,both,overall,59561,19924,overall,3651800
Johor,01/01/2017,both,overall,61085,20662,overall,3697000
Johor,01/01/2018,both,overall,61084,21117,overall,3749400
Johor,01/01/2019,both,overall,60261,21799,overall,3761200
Johor,01/01/2020,both,overall,56908,20646,overall,4009700
Johor,01/01/2021,both,overall,49990,26951,overall,4020000
Johor,01/01/2022,both,overall,48254,25305,overall,4028300
Kedah,01/01/2000,both,overall,41014,8982,overall,1671900
Kedah,01/01/2001,both,overall,38073,9197,overall,1703900
Kedah,01/01/2002,both,overall,36604,9925,overall,1734800
Kedah,01/01/2003,both,overall,35407,10311,overall,1763700
Kedah,01/01/2004,both,overall,35059,10095,overall,1792400
Kedah,01/01/2005,both,overall,34254,10280,overall,1820300
Kedah,01/01/2006,both,overall,33864,10698,overall,1847500
Kedah,01/01/2007,both,overall,33963,10847,overall,1874200
Kedah,01/01/2008,both,overall,35415,11071,overall,1900200
Kedah,01/01/2009,both,overall,36019,11618,overall,1925300
Kedah,01/01/2010,both,overall,35128,11674,overall,1949300
Kedah,01/01/2011,both,overall,35937,11869,overall,1971800
Kedah,01/01/2012,both,overall,36390,12268,overall,2001100
Kedah,01/01/2013,both,overall,35032,12516,overall,2039800
Kedah,01/01/2014,both,overall,36505,13017,overall,2062700
Kedah,01/01/2015,both,overall,36784,13674,overall,2096500
Kedah,01/01/2016,both,overall,35967,13771,overall,2119700
Kedah,01/01/2017,both,overall,36693,14332,overall,2143900
Kedah,01/01/2018,both,overall,35643,14552,overall,2163000
Kedah,01/01/2019,both,overall,34511,14302,overall,2173700
Kedah,01/01/2020,both,overall,33828,13671,overall,2131400
Kedah,01/01/2021,both,overall,33040,18457,overall,2151700
Kedah,01/01/2022,both,overall,30796,17628,overall,2163100
Kelantan,01/01/2000,both,overall,40404,7620,overall,1361400
Kelantan,01/01/2001,both,overall,38186,7797,overall,1390000
Kelantan,01/01/2002,both,overall,37297,8330,overall,1416700
Kelantan,01/01/2003,both,overall,35686,8614,overall,1440500
Kelantan,01/01/2004,both,overall,35113,8547,overall,1463800
Kelantan,01/01/2005,both,overall,34088,8834,overall,1486300
Kelantan,01/01/2006,both,overall,33659,8940,overall,1507600
Kelantan,01/01/2007,both,overall,33800,9186,overall,1529100
Kelantan,01/01/2008,both,overall,34842,9694,overall,1549800
Kelantan,01/01/2009,both,overall,35715,10114,overall,1570000
Kelantan,01/01/2010,both,overall,36009,9798,overall,1589900
Kelantan,01/01/2011,both,overall,37679,10024,overall,1618800
Kelantan,01/01/2012,both,overall,37025,9890,overall,1651000
Kelantan,01/01/2013,both,overall,36413,10042,overall,1683500
Kelantan,01/01/2014,both,overall,39279,10588,overall,1723400
Kelantan,01/01/2015,both,overall,39108,10789,overall,1760600
Kelantan,01/01/2016,both,overall,38455,10809,overall,1796700
Kelantan,01/01/2017,both,overall,39122,11203,overall,1829000
Kelantan,01/01/2018,both,overall,38360,11316,overall,1860500
Kelantan,01/01/2019,both,overall,36858,11410,overall,1883800
Kelantan,01/01/2020,both,overall,36275,10928,overall,1792500
Kelantan,01/01/2021,both,overall,34764,13926,overall,1812300
Kelantan,01/01/2022,both,overall,33808,13445,overall,1830600
Melaka,01/01/2000,both,overall,15304,3725,overall,646600
Melaka,01/01/2001,both,overall,14317,3799,overall,665800
Melaka,01/01/2002,both,overall,13810,3966,overall,684100
Melaka,01/01/2003,both,overall,13898,3964,overall,701800
Melaka,01/01/2004,both,overall,13548,4070,overall,719800
Melaka,01/01/2005,both,overall,13341,4140,overall,737300
Melaka,01/01/2006,both,overall,12946,4146,overall,755000
Melaka,01/01/2007,both,overall,13444,4145,overall,772800
Melaka,01/01/2008,both,overall,13619,4381,overall,790500
Melaka,01/01/2009,both,overall,13456,4472,overall,807800
Melaka,01/01/2010,both,overall,13010,4481,overall,823600
Melaka,01/01/2011,both,overall,13976,4606,overall,833200
Melaka,01/01/2012,both,overall,14278,4575,overall,843200
Melaka,01/01/2013,both,overall,13692,4747,overall,856700
Melaka,01/01/2014,both,overall,14568,4728,overall,871700
Melaka,01/01/2015,both,overall,14554,4959,overall,889000
Melaka,01/01/2016,both,overall,14402,5186,overall,901100
Melaka,01/01/2017,both,overall,14389,5523,overall,913100
Melaka,01/01/2018,both,overall,14388,5407,overall,922400
Melaka,01/01/2019,both,overall,14136,5547,overall,928400
Melaka,01/01/2020,both,overall,13855,5444,overall,998400
Melaka,01/01/2021,both,overall,13192,7083,overall,1004500
Melaka,01/01/2022,both,overall,13105,6630,overall,1008600
Negeri Sembilan,01/01/2000,both,overall,19243,4540,overall,866100
Negeri Sembilan,01/01/2001,both,overall,17670,4724,overall,883700
Negeri Sembilan,01/01/2002,both,overall,17647,5051,overall,900300
Negeri Sembilan,01/01/2003,both,overall,17272,5038,overall,916800
Negeri Sembilan,01/01/2004,both,overall,17085,5067,overall,933700
Negeri Sembilan,01/01/2005,both,overall,16838,5163,overall,950300
Negeri Sembilan,01/01/2006,both,overall,16622,5204,overall,967000
Negeri Sembilan,01/01/2007,both,overall,17195,5181,overall,983500
Negeri Sembilan,01/01/2008,both,overall,17351,5740,overall,999600
Negeri Sembilan,01/01/2009,both,overall,17360,5832,overall,1014900
Negeri Sembilan,01/01/2010,both,overall,16939,5814,overall,1029500
Negeri Sembilan,01/01/2011,both,overall,17670,5885,overall,1047400
Negeri Sembilan,01/01/2012,both,overall,17903,5895,overall,1057700
Negeri Sembilan,01/01/2013,both,overall,17509,6213,overall,1072200
Negeri Sembilan,01/01/2014,both,overall,18676,6410,overall,1079600
Negeri Sembilan,01/01/2015,both,overall,18423,6611,overall,1088800
Negeri Sembilan,01/01/2016,both,overall,18036,6810,overall,1099300
Negeri Sembilan,01/01/2017,both,overall,18078,7111,overall,1114000
Negeri Sembilan,01/01/2018,both,overall,18177,7298,overall,1122900
Negeri Sembilan,01/01/2019,both,overall,17464,7168,overall,1126200
Negeri Sembilan,01/01/2020,both,overall,17120,7011,overall,1200000
Negeri Sembilan,01/01/2021,both,overall,16777,9165,overall,1204200
Negeri Sembilan,01/01/2022,both,overall,15991,8636,overall,1207900
Pahang,01/01/2000,both,overall,29555,5507,overall,1295800
Pahang,01/01/2001,both,overall,27613,5741,overall,1317300
Pahang,01/01/2002,both,overall,26810,6297,overall,1338700
Pahang,01/01/2003,both,overall,26144,6291,overall,1360000
Pahang,01/01/2004,both,overall,25899,6275,overall,1380200
Pahang,01/01/2005,both,overall,25692,6499,overall,1400800
Pahang,01/01/2006,both,overall,24809,6670,overall,1421200
Pahang,01/01/2007,both,overall,24958,6742,overall,1441400
Pahang,01/01/2008,both,overall,25658,7100,overall,1461600
Pahang,01/01/2009,both,overall,26057,7428,overall,1481700
Pahang,01/01/2010,both,overall,25946,7722,overall,1501900
Pahang,01/01/2011,both,overall,27079,7812,overall,1526800
Pahang,01/01/2012,both,overall,27411,7791,overall,1547100
Pahang,01/01/2013,both,overall,26968,8146,overall,1568700
Pahang,01/01/2014,both,overall,28743,8301,overall,1591700
Pahang,01/01/2015,both,overall,28059,8471,overall,1607900
Pahang,01/01/2016,both,overall,27626,8878,overall,1626700
Pahang,01/01/2017,both,overall,27555,9261,overall,1647000
Pahang,01/01/2018,both,overall,27006,9246,overall,1664700
Pahang,01/01/2019,both,overall,25887,9179,overall,1671400
Pahang,01/01/2020,both,overall,25344,8686,overall,1591300
Pahang,01/01/2021,both,overall,24507,10366,overall,1601500
Pahang,01/01/2022,both,overall,23568,11022,overall,1614300
Perak,01/01/2000,both,overall,48589,13194,overall,2091700
Perak,01/01/2001,both,overall,43533,13577,overall,2129000
Perak,01/01/2002,both,overall,42289,14345,overall,2161800
Perak,01/01/2003,both,overall,39822,14561,overall,2192100
Perak,01/01/2004,both,overall,39012,14401,overall,2222100
Perak,01/01/2005,both,overall,37369,14348,overall,2251100
Perak,01/01/2006,both,overall,36835,14429,overall,2279300
Perak,01/01/2007,both,overall,36628,14913,overall,2306400
Perak,01/01/2008,both,overall,37174,15395,overall,2331600
Perak,01/01/2009,both,overall,37203,15741,overall,2355700
Perak,01/01/2010,both,overall,36026,15440,overall,2379000
Perak,01/01/2011,both,overall,37522,16012,overall,2402700
Perak,01/01/2012,both,overall,37712,16395,overall,2427000
Perak,01/01/2013,both,overall,35427,16386,overall,2447200
Perak,01/01/2014,both,overall,36586,16925,overall,2458800
Perak,01/01/2015,both,overall,36284,17159,overall,2466900
Perak,01/01/2016,both,overall,35685,17820,overall,2482100
Perak,01/01/2017,both,overall,34838,18047,overall,2493200
Perak,01/01/2018,both,overall,33869,18600,overall,2503500
Perak,01/01/2019,both,overall,33005,18740,overall,2508800
Perak,01/01/2020,both,overall,31582,17946,overall,2496000
Perak,01/01/2021,both,overall,30816,21303,overall,2515800
Perak,01/01/2022,both,overall,29543,22341,overall,2514400
Perlis,01/01/2000,both,overall,4651,1307,overall,207600
Perlis,01/01/2001,both,overall,4340,1335,overall,210400
Perlis,01/01/2002,both,overall,4225,1378,overall,213200
Perlis,01/01/2003,both,overall,4058,1416,overall,216000
Perlis,01/01/2004,both,overall,3964,1426,overall,218800
Perlis,01/01/2005,both,overall,3932,1452,overall,221600
Perlis,01/01/2006,both,overall,3891,1462,overall,224400
Perlis,01/01/2007,both,overall,3946,1491,overall,227200
Perlis,01/01/2008,both,overall,4175,1618,overall,230100
Perlis,01/01/2009,both,overall,4237,1580,overall,233000
Perlis,01/01/2010,both,overall,4114,1683,overall,235800
Perlis,01/01/2011,both,overall,4161,1637,overall,237300
Perlis,01/01/2012,both,overall,4143,1655,overall,239400
Perlis,01/01/2013,both,overall,4050,1741,overall,242100
Perlis,01/01/2014,both,overall,4509,1671,overall,245100
Perlis,01/01/2015,both,overall,4315,1767,overall,248500
Perlis,01/01/2016,both,overall,4392,1884,overall,251000
Perlis,01/01/2017,both,overall,4447,2004,overall,252000
Perlis,01/01/2018,both,overall,4371,2042,overall,253500
Perlis,01/01/2019,both,overall,4060,1996,overall,254000
Perlis,01/01/2020,both,overall,4101,1950,overall,284900
Perlis,01/01/2021,both,overall,4076,2234,overall,287600
Perlis,01/01/2022,both,overall,3746,2422,overall,289800
Pulau Pinang,01/01/2000,both,overall,27337,7037,overall,1332700
Pulau Pinang,01/01/2001,both,overall,24712,7162,overall,1361000
Pulau Pinang,01/01/2002,both,overall,24775,7703,overall,1387300
